Symbol,Momentum Score,Timestamp,Average Momentum
10000LADYSUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
10000NFTUSDT.P,2.775557561562892e-17,2024-07-23 18:07:57.489313,-1.0717842323651452
1000BONKUSDT.P,-0.1,2024-07-23 18:07:57.489313,-1.0717842323651452
1000BTTUSDT.P,-1.5000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
1000FLOKIUSDT.P,-0.6000000000000001,2024-07-23 18:07:57.489313,-1.0717842323651452
1000LUNCUSDT.P,-1.1,2024-07-23 18:07:57.489313,-1.0717842323651452
1000PEPEUSDT.P,1.4999999999999998,2024-07-23 18:07:57.489313,-1.0717842323651452
1000XECUSDT.P,-1.5000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
1INCHUSDT.P,-1.4,2024-07-23 18:07:57.489313,-1.0717842323651452
AAVEUSDT.P,-1.1,2024-07-23 18:07:57.489313,-1.0717842323651452
ACHUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
ADAUSDT.P,-0.6,2024-07-23 18:07:57.489313,-1.0717842323651452
AGLDUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
AKROUSDT.P,-1.3000000000000005,2024-07-23 18:07:57.489313,-1.0717842323651452
ALGOUSDT.P,-1.0000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
ALICEUSDT.P,-1.5000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
ALPACAUSDT.P,-1.4,2024-07-23 18:07:57.489313,-1.0717842323651452
ALPHAUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
AMBUSDT.P,-1.3,2024-07-23 18:07:57.489313,-1.0717842323651452
ANKRUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
ANTUSDT.P,0.7,2024-07-23 18:07:57.489313,-1.0717842323651452
APEUSDT.P,-0.9,2024-07-23 18:07:57.489313,-1.0717842323651452
API3USDT.P,-1.3,2024-07-23 18:07:57.489313,-1.0717842323651452
APTUSDT.P,-0.5,2024-07-23 18:07:57.489313,-1.0717842323651452
ARUSDT.P,0.1,2024-07-23 18:07:57.489313,-1.0717842323651452
ARBUSDT.P,0.9,2024-07-23 18:07:57.489313,-1.0717842323651452
ARKUSDT.P,-1.1,2024-07-23 18:07:57.489313,-1.0717842323651452
ARKMUSDT.P,-1.3,2024-07-23 18:07:57.489313,-1.0717842323651452
ARPAUSDT.P,-1.3,2024-07-23 18:07:57.489313,-1.0717842323651452
ASTRUSDT.P,-1.1,2024-07-23 18:07:57.489313,-1.0717842323651452
ATAUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
ATOMUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
AUCTIONUSDT.P,-1.1,2024-07-23 18:07:57.489313,-1.0717842323651452
AUDIOUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
AVAXUSDT.P,-0.5999999999999999,2024-07-23 18:07:57.489313,-1.0717842323651452
AXSUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
BADGERUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
BAKEUSDT.P,-1.3,2024-07-23 18:07:57.489313,-1.0717842323651452
BALUSDT.P,1.1,2024-07-23 18:07:57.489313,-1.0717842323651452
BANDUSDT.P,-0.7999999999999999,2024-07-23 18:07:57.489313,-1.0717842323651452
BATUSDT.P,-1.1,2024-07-23 18:07:57.489313,-1.0717842323651452
BCHUSDT.P,-1.0000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
BELUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
BICOUSDT.P,-1.4,2024-07-23 18:07:57.489313,-1.0717842323651452
BIGTIMEUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
BLURUSDT.P,-1.1,2024-07-23 18:07:57.489313,-1.0717842323651452
BLZUSDT.P,-1.4,2024-07-23 18:07:57.489313,-1.0717842323651452
BTCUSDT.P,0.2,2024-07-23 18:07:57.489313,-1.0717842323651452
C98USDT.P,-1.3,2024-07-23 18:07:57.489313,-1.0717842323651452
CEEKUSDT.P,-0.5,2024-07-23 18:07:57.489313,-1.0717842323651452
CELOUSDT.P,-1.2000000000000002,2024-07-23 18:07:57.489313,-1.0717842323651452
